eft_poi      value   minimum    maximum
cG_x05         0     -10.       20.
tcG_x04        0     -3.        3.
cA_x04         0     -15.       15.
tcA_x04        0     -30.       30.
cu_x01         0     -10.       5.
cd_x01         0     -20.       10.
cl_x01         0     -20.       10.
cH_x01         0     -4.        5.
c6             0     -15.       15.
cHW_x02        0     -20.       30.
tcHW_x02       0     -15.       15.
cHB_x02        0     -12.       20.
tcHB_x01       0     -6.        6.
cWWPluscB_x02  0     -15.       15.
cWWMinuscB_x02 0     -15.       15.
c3W_x02        0     -20.       12.
tc3W_x01       0     -5.        5.
cT_x03         0     -10.       8.
c2W            0     -15.       15.
c2B            0     -15.       15.
cHu_x02        0     -2.5       2.5
cHd_x02        0     -10.       1.
cHe_x03        0     -5.        0.6
cHQ_x03        0     -5.        16.
cpHQ_x03       0     -11.       11.
c3G_x04        0     -5.        5.
tc3G_x04       0     -5.        5.
c2G_x04        0     -5.        5.
cHud_x02       0     -15.       15.
cuW_x02        0     -15.       15.
cdW_x02        0     -15.       15.
cuB_x02        0     -15.       15.
cdB_x02        0     -15.       15.
cpHL_x02       0     -15.       15.
clW_x02        0     -15.       15.
cuG_x02        0     -15.       15.
cHL_x02        0     -15.       15.
clB_x02        0     -15.       15.
cdG_x02        0     -15.       15.
