eft_poi  value   minimum    maximum
cG         0     -3.2e-4    1.1e-4
tcG        0     -1.2e-4    1.2e-4
cA         0     -11e-4     2.2e-4
tcA        0     -12e-4     12e-4
cu         0     -0.084     0.155
cd         0     -0.198     0.088
cl         0     -5.        5.
cH         0     -0.140     0.194
c6         0     -5.        5.
cHW        0     -0.035     0.015
tcHW       0     -0.060     0.060
cHB        0     -0.045     0.075
tcHB       0     -0.240     0.240
cWWPluscB  0     -0.0033    0.0018
cWWMinuscB 0     -0.035     0.005
c3W        0     -0.083     0.045
tc3W       0     -0.18      0.18
cT         0     -0.0043    0.0033
c2W        0     -5.        5.
c2B        0     -5.        5.
cHu        0     -0.011     0.011
cHd        0     -0.042     0.0044
cHe        0     -0.0018    0.00025
cHQ        0     -0.0019    0.0069
cpHQ       0     -0.0044    0.0044
c3G        0     -0.00016   0.00016
tc3G       0     -0.00016   0.00016
c2G        0     -0.00016   0.00016
