    M_H     m_c(M_H)      m_b(M_H)      m_t(M_H)
   120.00   0.61821        2.7739        169.79    
   120.10   0.61817        2.7737        169.77    
   120.20   0.61813        2.7735        169.76    
   120.30   0.61809        2.7733        169.75    
   120.40   0.61804        2.7731        169.74    
   120.50   0.61800        2.7729        169.73    
   120.60   0.61796        2.7727        169.72    
   120.70   0.61792        2.7725        169.70    
   120.80   0.61787        2.7723        169.69    
   120.90   0.61783        2.7721        169.68    
   121.00   0.61779        2.7719        169.67    
   121.10   0.61775        2.7718        169.66    
   121.20   0.61771        2.7716        169.65    
   121.30   0.61766        2.7714        169.63    
   121.40   0.61762        2.7712        169.62    
   121.50   0.61758        2.7710        169.61    
   121.60   0.61754        2.7708        169.60    
   121.70   0.61750        2.7706        169.59    
   121.80   0.61745        2.7704        169.58    
   121.90   0.61741        2.7703        169.57    
   122.00   0.61737        2.7701        169.55    
   122.10   0.61733        2.7699        169.54    
   122.20   0.61729        2.7697        169.53    
   122.30   0.61724        2.7695        169.52    
   122.40   0.61720        2.7693        169.51    
   122.50   0.61716        2.7691        169.50    
   122.60   0.61712        2.7689        169.49    
   122.70   0.61708        2.7688        169.47    
   122.80   0.61704        2.7686        169.46    
   122.90   0.61700        2.7684        169.45    
   123.00   0.61695        2.7682        169.44    
   123.10   0.61691        2.7680        169.43    
   123.20   0.61687        2.7678        169.42    
   123.30   0.61683        2.7676        169.41    
   123.40   0.61679        2.7675        169.39    
   123.50   0.61675        2.7673        169.38    
   123.60   0.61671        2.7671        169.37    
   123.70   0.61667        2.7669        169.36    
   123.80   0.61663        2.7667        169.35    
   123.90   0.61658        2.7665        169.34    
   124.00   0.61654        2.7664        169.33    
   124.10   0.61650        2.7662        169.32    
   124.20   0.61646        2.7660        169.30    
   124.30   0.61642        2.7658        169.29    
   124.40   0.61638        2.7656        169.28    
   124.50   0.61634        2.7654        169.27    
   124.60   0.61630        2.7653        169.26    
   124.70   0.61626        2.7651        169.25    
   124.80   0.61622        2.7649        169.24    
   124.90   0.61618        2.7647        169.23    
   125.00   0.61614        2.7645        169.22    
   125.10   0.61610        2.7644        169.20    
   125.20   0.61606        2.7642        169.19    
   125.30   0.61602        2.7640        169.18    
   125.40   0.61598        2.7638        169.17    
   125.50   0.61593        2.7636        169.16    
   125.60   0.61589        2.7634        169.15    
   125.70   0.61585        2.7633        169.14    
   125.80   0.61581        2.7631        169.13    
   125.90   0.61577        2.7629        169.12    
   126.00   0.61573        2.7627        169.10    
   126.10   0.61569        2.7625        169.09    
   126.20   0.61565        2.7624        169.08    
   126.30   0.61561        2.7622        169.07    
   126.40   0.61557        2.7620        169.06    
   126.50   0.61553        2.7618        169.05    
   126.60   0.61549        2.7617        169.04    
   126.70   0.61545        2.7615        169.03    
   126.80   0.61541        2.7613        169.02    
   126.90   0.61537        2.7611        169.01    
   127.00   0.61533        2.7609        168.99    
   127.10   0.61530        2.7608        168.98    
   127.20   0.61526        2.7606        168.97    
   127.30   0.61522        2.7604        168.96    
   127.40   0.61518        2.7602        168.95    
   127.50   0.61514        2.7600        168.94    
   127.60   0.61510        2.7599        168.93    
   127.70   0.61506        2.7597        168.92    
   127.80   0.61502        2.7595        168.91    
   127.90   0.61498        2.7593        168.90    
   128.00   0.61494        2.7592        168.89    
   128.10   0.61490        2.7590        168.88    
   128.20   0.61486        2.7588        168.86    
   128.30   0.61482        2.7586        168.85    
   128.40   0.61478        2.7585        168.84    
   128.50   0.61474        2.7583        168.83    
   128.60   0.61470        2.7581        168.82    
   128.70   0.61467        2.7579        168.81    
   128.80   0.61463        2.7578        168.80    
   128.90   0.61459        2.7576        168.79    
   129.00   0.61455        2.7574        168.78    
   129.10   0.61451        2.7572        168.77    
   129.20   0.61447        2.7571        168.76    
   129.30   0.61443        2.7569        168.75    
   129.40   0.61439        2.7567        168.74    
   129.50   0.61435        2.7565        168.73    
   129.60   0.61432        2.7564        168.72    
   129.70   0.61428        2.7562        168.70    
   129.80   0.61424        2.7560        168.69    
   129.90   0.61420        2.7558        168.68    
   130.00   0.61416        2.7557        168.67    
