mH_GeV 	H_gg 	    H_gamgam 	H_Zgam  	H_WW 	    H_ZZ 	    Total_Width_GeV
80.0 	4.94E-02	9.18E-04	0.00E+00	6.27E-04	1.64E-04	1.99E-03
81.0 	5.05E-02	9.46E-04	0.00E+00	6.96E-04	1.81E-04	2.01E-03
82.0 	5.17E-02	9.74E-04	0.00E+00	7.74E-04	1.99E-04	2.04E-03
83.0 	5.28E-02	1.00E-03	0.00E+00	8.61E-04	2.18E-04	2.06E-03
84.0 	5.40E-02	1.03E-03	0.00E+00	9.61E-04	2.40E-04	2.08E-03
85.0 	5.51E-02	1.06E-03	0.00E+00	1.08E-03	2.63E-04	2.11E-03
86.0 	5.63E-02	1.09E-03	0.00E+00	1.21E-03	2.88E-04	2.13E-03
87.0 	5.75E-02	1.12E-03	0.00E+00	1.37E-03	3.16E-04	2.15E-03
88.0 	5.87E-02	1.15E-03	0.00E+00	1.56E-03	3.47E-04	2.18E-03
89.0 	5.99E-02	1.19E-03	0.00E+00	1.79E-03	3.80E-04	2.20E-03
90.0 	6.12E-02	1.22E-03	0.00E+00	2.07E-03	4.17E-04	2.22E-03
91.0 	6.24E-02	1.25E-03	0.00E+00	2.41E-03	4.57E-04	2.25E-03
92.0 	6.36E-02	1.29E-03	5.09E-08	2.83E-03	5.02E-04	2.27E-03
93.0 	6.49E-02	1.32E-03	5.17E-07	3.33E-03	5.50E-04	2.30E-03
94.0 	6.61E-02	1.36E-03	1.85E-06	3.94E-03	6.05E-04	2.32E-03
95.0 	6.74E-02	1.39E-03	4.48E-06	4.68E-03	6.65E-04	2.35E-03
96.0 	6.87E-02	1.43E-03	8.78E-06	5.55E-03	7.33E-04	2.37E-03
97.0 	6.99E-02	1.46E-03	1.51E-05	6.60E-03	8.11E-04	2.40E-03
98.0 	7.12E-02	1.50E-03	2.38E-05	7.83E-03	9.00E-04	2.43E-03
99.0 	7.24E-02	1.54E-03	3.51E-05	9.28E-03	1.00E-03	2.46E-03
