mH_GeV   XS_pb    Sca_Hi  Sca_Lo  Pdf_alpha_s  Total_pos  Total_neg  XS_WplusH_pb  XS_WminusH_pb
+120.0   +1.6729  +0.459  -0.726  +1.844       +1.9003    -1.9818    +1.0233       +0.6496      
+122.0   +1.5868  +0.466  -0.729  +1.848       +1.9058    -1.9866    +0.9714       +0.6154      
+124.0   +1.5062  +0.48   -0.739  +1.855       +1.9161    -1.9968    +0.9227       +0.5834      
+124.6   +1.483   +0.467  -0.744  +1.862       +1.9197    -2.0051    +0.9088       +0.5742      
+124.8   +1.4755  +0.468  -0.746  +1.868       +1.9257    -2.0115    +0.9042       +0.5712      
+125.0   +1.4678  +0.477  -0.739  +1.876       +1.9357    -2.0163    +0.8995       +0.5682      
+125.09  +1.4643  +0.479  -0.738  +1.868       +1.9284    -2.0085    +0.8975       +0.5668      
+125.2   +1.4602  +0.486  -0.732  +1.876       +1.9379    -2.0138    +0.895        +0.5652      
+125.3   +1.4565  +0.478  -0.741  +1.871       +1.9311    -2.0124    +0.8927       +0.5637      
+125.38  +1.4534  +0.478  -0.736  +1.87        +1.9301    -2.0096    +0.891        +0.5625      
+125.6   +1.4451  +0.485  -0.738  +1.865       +1.927     -2.0057    +0.8859       +0.5593      
+126.0   +1.4303  +0.482  -0.741  +1.863       +1.9243    -2.005     +0.8769       +0.5534      
+128.0   +1.3591  +0.488  -0.749  +1.878       +1.9404    -2.0219    +0.8339       +0.5252      
+130.0   +1.2922  +0.508  -0.753  +1.88        +1.9474    -2.0252    +0.7934       +0.4988      
