mH_GeV   XS_pb    Sca_Hi  Sca_Lo  Pdf_alpha_s  Total_pos  Total_neg  XS_ggZH_pb
+120.0   +1.066   +2.7    -2.5    +1.63        +3.1539    -2.9844    +0.1376   
+122.0   +1.017   +2.8    -2.6    +1.64        +3.2449    -3.074     +0.1348   
+124.0   +0.9707  +2.8    -2.6    +1.63        +3.2399    -3.0687    +0.1319   
+124.6   +0.9574  +2.8    -2.6    +1.63        +3.2399    -3.0687    +0.1311   
+124.8   +0.9531  +2.9    -2.6    +1.64        +3.3316    -3.074     +0.1308   
+125.0   +0.9488  +2.8    -2.6    +1.66        +3.2551    -3.0847    +0.1305   
+125.09  +0.9468  +2.9    -2.6    +1.62        +3.3218    -3.0634    +0.1304   
+125.2   +0.9443  +2.9    -2.6    +1.62        +3.3218    -3.0634    +0.1302   
+125.3   +0.9421  +2.9    -2.6    +1.62        +3.3218    -3.0634    +0.1301   
+125.38  +0.9405  +2.9    -2.6    +1.62        +3.3218    -3.0634    +0.13     
+125.6   +0.9357  +2.9    -2.6    +1.62        +3.3218    -3.0634    +0.1297   
+126.0   +0.9272  +2.9    -2.7    +1.64        +3.3316    -3.1591    +0.1291   
+128.0   +0.8859  +3.0    -2.7    +1.63        +3.4142    -3.1539    +0.1263   
+130.0   +0.8469  +3.0    -2.7    +1.63        +3.4142    -3.1539    +0.1235   
