mH_GeV   XS_pb   Sca_Hi  Sca_Lo  Pdf_as_mb  Total_pos  Total_neg
+120.0   +0.648  +8.8    -8.8    +3.4       +9.4       -9.4     
+122.0   +0.615  +8.7    -8.7    +3.4       +9.4       -9.4     
+124.0   +0.584  +8.7    -8.7    +3.4       +9.3       -9.3     
+124.6   +0.575  +8.6    -8.6    +3.4       +9.3       -9.3     
+124.8   +0.572  +8.6    -8.6    +3.4       +9.3       -9.3     
+125.0   +0.569  +8.6    -8.6    +3.4       +9.3       -9.3     
+125.09  +0.568  +8.6    -8.6    +3.4       +9.3       -9.3     
+125.2   +0.566  +8.6    -8.6    +3.4       +9.3       -9.3     
+125.3   +0.565  +8.6    -8.6    +3.4       +9.3       -9.3     
+125.38  +0.563  +8.6    -8.6    +3.4       +9.3       -9.3     
+125.6   +0.561  +8.6    -8.6    +3.5       +9.3       -9.3     
+126.0   +0.555  +8.6    -8.6    +3.5       +9.3       -9.3     
+128.0   +0.528  +8.5    -8.5    +3.5       +9.2       -9.2     
+130.0   +0.502  +8.5    -8.5    +3.5       +9.2       -9.2     
