mH_GeV   XS_pb   Sca_Hi  Sca_Lo  Pdf_minus_TH  Gauss  Pdf_alpha_s  Total_pos  Total_neg
+120.0   +55.54  +1.6    -4.7    +2.4          +4.1   +2.5         +4.717     -7.5273  
+122.0   +53.97  +1.7    -4.7    +2.4          +4.1   +2.5         +4.8021    -7.5273  
+124.0   +52.46  +1.6    -4.7    +2.4          +4.1   +2.5         +4.717     -7.5273  
+124.6   +52.02  +1.6    -4.7    +2.4          +4.0   +2.5         +4.717     -7.5273  
+124.8   +51.87  +1.6    -4.7    +2.4          +4.0   +2.5         +4.717     -7.5273  
+125.0   +51.72  +1.6    -4.7    +2.4          +4.0   +2.5         +4.717     -7.5273  
+125.09  +51.66  +1.6    -4.7    +2.4          +4.0   +2.5         +4.717     -7.5273  
+125.2   +51.58  +1.6    -4.7    +2.4          +4.0   +2.5         +4.717     -7.5273  
+125.3   +51.51  +1.6    -4.6    +2.4          +4.0   +2.5         +4.717     -7.433   
+125.38  +51.45  +1.6    -4.6    +2.4          +4.0   +2.5         +4.717     -7.433   
+125.6   +51.29  +1.6    -4.6    +2.4          +4.0   +2.5         +4.717     -7.433   
+126.0   +51.01  +1.6    -4.6    +2.3          +4.0   +2.5         +4.6325    -7.3389  
+128.0   +49.62  +1.6    -4.6    +2.3          +4.0   +2.5         +4.6325    -7.3389  
+130.0   +48.28  +1.6    -4.6    +2.3          +4.0   +2.5         +4.6325    -7.3389  
