mH_GeV   XS_pb    Sca_Hi  Sca_Lo  Pdf_alpha_s  Total_pos  Total_neg
+120     +0.0191  +4.7    +6.4    +3.7         +5.9816    -7.3926  
+122     +0.0184  +4.7    +6.4    +3.7         +5.9816    -7.3926  
+124     +0.0177  +4.7    +6.4    +3.7         +5.9816    -7.3926  
+124.6   +0.0175  +4.7    +6.4    +3.7         +5.9816    -7.3926  
+124.8   +0.0175  +4.7    +6.4    +3.7         +5.9816    -7.3926  
+125     +0.0174  +4.7    +6.4    +3.7         +5.9816    -7.3926  
+125.09  +0.0174  +4.7    +6.4    +3.7         +5.9816    -7.3926  
+125.2   +0.0173  +4.7    +6.4    +3.7         +5.9816    -7.3926  
+125.3   +0.0173  +4.7    +6.4    +3.7         +5.9816    -7.3926  
+125.38  +0.0173  +4.7    +6.4    +3.7         +5.9816    -7.3926  
+125.6   +0.0172  +4.7    +6.4    +3.7         +5.9816    -7.3926  
+126     +0.0171  +4.7    +6.4    +3.7         +5.9816    -7.3926  
+128     +0.0164  +4.7    +6.4    +3.7         +5.9816    -7.3926  
+130     +0.0157  +4.7    +6.4    +3.7         +5.9816    -7.3926  
