mH_GeV   XS_pb    Sca_Hi  Sca_Lo  Pdf_alpha_s  Total_pos  Total_neg  XS_tH_pb  XS_tbarH_pb
+120.0   +0.0034  +2.4    +1.8    +2.3         +3.3242    -2.9206    +0.0022   +0.0012    
+122.0   +0.0033  +2.4    +1.8    +2.3         +3.3242    -2.9206    +0.0021   +0.0012    
+124.0   +0.0032  +2.4    +1.8    +2.3         +3.3242    -2.9206    +0.0021   +0.0011    
+124.6   +0.0032  +2.4    +1.8    +2.3         +3.3242    -2.9206    +0.0021   +0.0011    
+124.8   +0.0032  +2.4    +1.8    +2.3         +3.3242    -2.9206    +0.0021   +0.0011    
+125.0   +0.0032  +2.4    +1.8    +2.3         +3.3242    -2.9206    +0.0021   +0.0011    
+125.09  +0.0031  +2.4    +1.8    +2.3         +3.3242    -2.9206    +0.0021   +0.0011    
+125.2   +0.0031  +2.4    +1.8    +2.3         +3.3242    -2.9206    +0.0021   +0.0011    
+125.3   +0.0031  +2.4    +1.8    +2.3         +3.3242    -2.9206    +0.0021   +0.0011    
+125.38  +0.0031  +2.4    +1.8    +2.3         +3.3242    -2.9206    +0.0021   +0.0011    
+125.6   +0.0031  +2.4    +1.8    +2.3         +3.3242    -2.9206    +0.002    +0.0011    
+126.0   +0.0031  +2.4    +1.8    +2.3         +3.3242    -2.9206    +0.002    +0.0011    
+128.0   +0.003   +2.4    +1.8    +2.3         +3.3242    -2.9206    +0.002    +0.001     
+130.0   +0.0029  +2.4    +1.8    +2.3         +3.3242    -2.9206    +0.0019   +0.001     
