mH_GeV   XS_pb    Sca_Hi  Sca_Lo  Pdf_alpha_s  Total_pos  Total_neg  XS_tH_pb  XS_tbarH_pb
+120.0   +0.0888  +6.4    +15.5   +2.1         +6.7357    -15.6416   +0.0579   +0.0309    
+122.0   +0.0875  +6.4    +15.5   +2.1         +6.7357    -15.6416   +0.0571   +0.0304    
+124.0   +0.0862  +6.4    +15.5   +2.1         +6.7357    -15.6416   +0.0564   +0.0298    
+124.6   +0.0858  +6.4    +15.5   +2.1         +6.7357    -15.6416   +0.0561   +0.0296    
+124.8   +0.0857  +6.4    +15.5   +2.1         +6.7357    -15.6416   +0.0561   +0.0296    
+125.0   +0.0854  +6.4    +15.5   +2.1         +6.7357    -15.6416   +0.056    +0.0294    
+125.09  +0.0853  +6.4    +15.5   +2.1         +6.7357    -15.6416   +0.0558   +0.0295    
+125.2   +0.0854  +6.4    +15.5   +2.1         +6.7357    -15.6416   +0.0559   +0.0295    
+125.3   +0.0853  +6.4    +15.5   +2.1         +6.7357    -15.6416   +0.0559   +0.0295    
+125.38  +0.0851  +6.4    +15.5   +2.1         +6.7357    -15.6416   +0.0557   +0.0294    
+125.6   +0.085   +6.4    +15.5   +2.1         +6.7357    -15.6416   +0.0556   +0.0294    
+126.0   +0.0849  +6.4    +15.5   +2.1         +6.7357    -15.6416   +0.0556   +0.0293    
+128.0   +0.0835  +6.4    +15.5   +2.1         +6.7357    -15.6416   +0.0548   +0.0287    
+130.0   +0.0822  +6.4    +15.5   +2.1         +6.7357    -15.6416   +0.0541   +0.0281    
