mH_GeV   XS_pb    Sca_Hi   Sca_Lo   Pdf_alpha_s  Total_pos  Total_neg
+120.0   +0.6611  +1.4213  -2.1932  +2.7803      +3.1225    -3.5412  
+122.0   +0.6342  +1.5811  -2.2847  +2.7803      +3.1984    -3.5986  
+124.0   +0.6074  +1.6643  -2.2847  +2.7803      +3.2404    -3.5986  
+124.6   +0.5993  +1.7493  -2.377   +2.7803      +3.2848    -3.6579  
+124.8   +0.5961  +1.7493  -2.377   +2.7803      +3.2848    -3.6579  
+125.0   +0.5925  +1.6643  -2.2847  +2.7803      +3.2404    -3.5986  
+125.09  +0.5921  +1.7493  -2.377   +2.7803      +3.2848    -3.6579  
+125.2   +0.5909  +1.7493  -2.377   +2.7803      +3.2848    -3.6579  
+125.3   +0.5896  +1.7493  -2.377   +2.7803      +3.2848    -3.6579  
+125.38  +0.5888  +1.7493  -2.377   +2.7803      +3.2848    -3.6579  
+125.6   +0.586   +1.8358  -2.377   +2.7803      +3.3317    -3.6579  
+126.0   +0.5805  +1.8358  -2.377   +2.7803      +3.3317    -3.6579  
+128.0   +0.5536  +1.9235  -2.4698  +2.7803      +3.3808    -3.7189  
+130.0   +0.5268  +2.1024  -2.5632  +2.7803      +3.4857    -3.7815  
