mH_GeV   XS_pb    Sca_Hi   Sca_Lo   Pdf_alpha_s  Total_pos  Total_neg
+120.0   +4.2761  +1.1284  -1.0864  +2.193       +2.4663    -2.4474  
+122.0   +4.2098  +1.1148  -1.0738  +2.194       +2.461     -2.4427  
+124.0   +4.1444  +1.1031  -1.0631  +2.195       +2.4566    -2.4389  
+124.6   +4.1249  +1.0995  -1.0605  +2.195       +2.455     -2.4377  
+124.8   +4.1185  +1.0978  -1.0588  +2.195       +2.4542    -2.437   
+125.0   +4.1121  +1.0971  -1.0571  +2.196       +2.4548    -2.4372  
+125.09  +4.1091  +1.0964  -1.0574  +2.196       +2.4545    -2.4373  
+125.2   +4.1056  +1.0943  -1.0553  +2.196       +2.4536    -2.4364  
+125.3   +4.1024  +1.0923  -1.0533  +2.196       +2.4526    -2.4355  
+125.38  +4.0998  +1.0901  -1.0511  +2.196       +2.4517    -2.4346  
+125.6   +4.0927  +1.0909  -1.0519  +2.196       +2.452     -2.4349  
+126.0   +4.0804  +1.0884  -1.0484  +2.196       +2.4509    -2.4334  
+128.0   +4.0178  +1.078   -1.039   +2.198       +2.4481    -2.4312  
+130.0   +3.9564  +1.0612  -1.0242  +2.199       +2.4416    -2.4258  
