mH_GeV   XS_pb   Sca_Hi  Sca_Lo  Pdf_alpha_s  Total_pos  Total_neg  XS_ggZH_pb
+120.0   +0.999  +2.8    -2.5    +1.66        +3.2551    -3.0009    +0.1252   
+122.0   +0.953  +2.8    -2.5    +1.66        +3.2551    -3.0009    +0.1225   
+124.0   +0.909  +2.9    -2.5    +1.65        +3.3365    -2.9954    +0.1198   
+124.6   +0.896  +2.9    -2.5    +1.66        +3.3415    -3.0009    +0.119    
+124.8   +0.892  +2.9    -2.5    +1.66        +3.3415    -3.0009    +0.1187   
+125.0   +0.888  +2.9    -2.6    +1.65        +3.3365    -3.0794    +0.1184   
+125.09  +0.886  +2.9    -2.6    +1.65        +3.3365    -3.0794    +0.1183   
+125.2   +0.884  +2.9    -2.6    +1.65        +3.3365    -3.0794    +0.1182   
+125.3   +0.882  +2.9    -2.6    +1.64        +3.3316    -3.074     +0.118    
+125.38  +0.88   +2.9    -2.6    +1.65        +3.3365    -3.0794    +0.1179   
+125.6   +0.876  +2.9    -2.6    +1.65        +3.3365    -3.0794    +0.1176   
+126.0   +0.868  +2.9    -2.6    +1.65        +3.3365    -3.0794    +0.1171   
+128.0   +0.829  +3.0    -2.6    +1.65        +3.4238    -3.0794    +0.1144   
+130.0   +0.792  +3.054  -2.6    +1.66        +3.476     -3.0847    +0.1117   
