mH_GeV   XS_pb    Sca_Hi  Sca_Lo  Pdf_alpha_s  Total_pos  Total_neg  XS_tH_pb  XS_tbarH_pb
+120.0   +0.0032  +2.4    +1.9    +2.4         +3.3941    -3.061     +0.0021   +0.0011    
+122.0   +0.0031  +2.4    +1.9    +2.4         +3.3941    -3.061     +0.002    +0.0011    
+124.0   +0.003   +2.4    +1.9    +2.4         +3.3941    -3.061     +0.002    +0.001     
+124.6   +0.0029  +2.4    +1.9    +2.4         +3.3941    -3.061     +0.0019   +0.001     
+124.8   +0.0029  +2.4    +1.9    +2.4         +3.3941    -3.061     +0.0019   +0.001     
+125.0   +0.0029  +2.4    +1.9    +2.4         +3.3941    -3.061     +0.0019   +0.001     
+125.09  +0.0029  +2.4    +1.9    +2.4         +3.3941    -3.061     +0.0019   +0.001     
+125.2   +0.0029  +2.4    +1.9    +2.4         +3.3941    -3.061     +0.0019   +0.001     
+125.3   +0.0029  +2.4    +1.9    +2.4         +3.3941    -3.061     +0.0019   +0.001     
+125.38  +0.0029  +2.4    +1.9    +2.4         +3.3941    -3.061     +0.0019   +0.001     
+125.6   +0.0029  +2.4    +1.9    +2.4         +3.3941    -3.061     +0.0019   +0.001     
+126.0   +0.0029  +2.4    +1.9    +2.4         +3.3941    -3.061     +0.0019   +0.001     
+128.0   +0.0028  +2.4    +1.9    +2.4         +3.3941    -3.061     +0.0018   +0.0009    
+130.0   +0.0026  +2.4    +1.9    +2.4         +3.3941    -3.061     +0.0017   +0.0009    
