mH_GeV   XS_pb    Sca_Hi   Sca_Lo   Pdf_alpha_s  Total_pos  Total_neg
+120.0   +3.9672  +1.1452  -1.1052  +2.2         +2.4802    -2.462   
+122.0   +3.905   +1.1201  -1.0811  +2.201       +2.4696    -2.4522  
+124.0   +3.8436  +1.1097  -1.0707  +2.202       +2.4658    -2.4485  
+124.6   +3.8254  +1.1042  -1.0662  +2.203       +2.4642    -2.4474  
+124.8   +3.8193  +1.1049  -1.0669  +2.203       +2.4646    -2.4478  
+125.0   +3.8132  +1.103   -1.065   +2.203       +2.4637    -2.4469  
+125.09  +3.8105  +1.1034  -1.0654  +2.203       +2.4639    -2.4471  
+125.2   +3.8072  +1.1038  -1.0658  +2.203       +2.4641    -2.4473  
+125.3   +3.8042  +1.1015  -1.0635  +2.203       +2.463     -2.4463  
+125.38  +3.8018  +1.0992  -1.0612  +2.203       +2.462     -2.4453  
+125.6   +3.7952  +1.0974  -1.0594  +2.203       +2.4612    -2.4445  
+126.0   +3.7836  +1.0935  -1.0555  +2.204       +2.4604    -2.4437  
+128.0   +3.7248  +1.0847  -1.0467  +2.205       +2.4574    -2.4408  
+130.0   +3.6672  +1.069   -1.033   +2.206       +2.4514    -2.4359  
