mH_GeV  XS_pb  Sca_Hi  Sca_Lo  Pdf_alpha_S  Total_Hi  Total_Lo  XS_WplusH_pb  XS_WminusH_pb
+120  +1.67287  +0.459  -0.726  +1.844  +1.90026761273248  -1.98176991600942  +1.0233  +0.64957
+122  +1.58677  +0.466  -0.729  +1.848  +1.90584889222624  -1.98659130170249  +0.97138  +0.61539
+124  +1.50617  +0.48  -0.739  +1.855  +1.9160962919436  -1.99678391419803  +0.92273  +0.58344
+124.6  +1.48305  +0.467  -0.744  +1.862  +1.91967002372804  -2.00513839921338  +0.90881  +0.57424
+124.8  +1.47547  +0.468  -0.746  +1.868  +1.92573310715686  -2.01145221171173  +0.90425  +0.57122
+125  +1.46777  +0.477  -0.739  +1.876  +1.93569238258562  -2.01630776420664  +0.89954  +0.56823
+125.09  +1.46434  +0.479  -0.738  +1.868  +1.92843589470846  -2.00849894199624  +0.8975  +0.56684
+125.2  +1.46016  +0.486  -0.732  +1.876  +1.93792982329082  -2.0137527157027  +0.89498  +0.56518
+125.3  +1.45645  +0.478  -0.741  +1.871  +1.93109424938298  -2.0123921089092  +0.89273  +0.56372
+125.38  +1.45344  +0.478  -0.736  +1.87  +1.93012538452817  -2.00962583582119  +0.89096  +0.56248
+125.6  +1.44515  +0.485  -0.738  +1.865  +1.9270313956965  -2.0057091015399  +0.8859  +0.55925
+126  +1.4303  +0.482  -0.741  +1.863  +1.92434222528115  -2.00495635862729  +0.87693  +0.55337
+128  +1.35912  +0.488  -0.749  +1.878  +1.94036800633282  -2.02185187390175  +0.83392  +0.5252
+130  +1.29219  +0.508  -0.753  +1.88  +1.94742496646212  -2.02519357099513  +0.79343  +0.49876
