mH_GeV  XS_pb  Sca_Hi  Sca_Lo  Pdf_alpha_S  Total_Hi  Total_Lo  XS_ggZH_pb
+120  +1.066  +2.7  -2.5  +1.63  +3.15387063780365  -2.98444299660757  +0.1376
+122  +1.017  +2.8  -2.6  +1.64  +3.24493451397713  -3.07402016909454  +0.1348
+124  +0.9707  +2.8  -2.6  +1.63  +3.23989197350776  -3.06869679179941  +0.1319
+124.6  +0.9574  +2.8  -2.6  +1.63  +3.23989197350776  -3.06869679179941  +0.1311
+124.8  +0.9531  +2.9  -2.6  +1.64  +3.3316062192282  -3.07402016909454  +0.1308
+125  +0.9488  +2.8  -2.6  +1.66  +3.2550883244545  -3.08473661760611  +0.1305
+125.09  +0.9468  +2.9  -2.6  +1.62  +3.32180673730426  -3.06339680746716  +0.1304
+125.2  +0.9443  +2.9  -2.6  +1.62  +3.32180673730426  -3.06339680746716  +0.1302
+125.3  +0.9421  +2.9  -2.6  +1.62  +3.32180673730426  -3.06339680746716  +0.1301
+125.38  +0.9405  +2.9  -2.6  +1.62  +3.32180673730426  -3.06339680746716  +0.13
+125.6  +0.9357  +2.9  -2.6  +1.62  +3.32180673730426  -3.06339680746716  +0.1297
+126  +0.9272  +2.9  -2.7  +1.64  +3.3316062192282  -3.15905049025811  +0.1291
+128  +0.8859  +3  -2.7  +1.63  +3.41422026237324  -3.15387063780365  +0.1263
+130  +0.8469  +3  -2.7  +1.63  +3.41422026237324  -3.15387063780365  +0.1235
