mH_GeV  XS_pb  Sca_Hi  Sca_Lo  Pdf_TH  Gauss  Pdf_alpha_s  Total_Hi  Total_Lo  Total_Gauss
+120  +55.54  +1.6  -4.7  +2.4  +4.1  +2.5  +4.7169905660283  -7.52728370662353  +4.80208288141719
+122  +53.97  +1.7  -4.7  +2.4  +4.1  +2.5  +4.80208288141719  -7.52728370662353  +4.80208288141719
+124  +52.46  +1.6  -4.7  +2.4  +4.1  +2.5  +4.7169905660283  -7.52728370662353  +4.80208288141719
+124.6  +52.02  +1.6  -4.7  +2.4  +4  +2.5  +4.7169905660283  -7.52728370662353  +4.7169905660283
+124.8  +51.87  +1.6  -4.7  +2.4  +4  +2.5  +4.7169905660283  -7.52728370662353  +4.7169905660283
+125  +51.72  +1.6  -4.7  +2.4  +4  +2.5  +4.7169905660283  -7.52728370662353  +4.7169905660283
+125.09  +51.66  +1.6  -4.7  +2.4  +4  +2.5  +4.7169905660283  -7.52728370662353  +4.7169905660283
+125.2  +51.58  +1.6  -4.7  +2.4  +4  +2.5  +4.7169905660283  -7.52728370662353  +4.7169905660283
+125.3  +51.51  +1.6  -4.6  +2.4  +4  +2.5  +4.7169905660283  -7.43303437365925  +4.7169905660283
+125.38  +51.45  +1.6  -4.6  +2.4  +4  +2.5  +4.7169905660283  -7.43303437365925  +4.7169905660283
+125.6  +51.29  +1.6  -4.6  +2.4  +4  +2.5  +4.7169905660283  -7.43303437365925  +4.7169905660283
+126  +51.01  +1.6  -4.6  +2.3  +4  +2.5  +4.63249392876019  -7.33893725276351  +4.7169905660283
+128  +49.62  +1.6  -4.6  +2.3  +4  +2.5  +4.63249392876019  -7.33893725276351  +4.7169905660283
+130  +48.28  +1.6  -4.6  +2.3  +4  +2.5  +4.63249392876019  -7.33893725276351  +4.7169905660283
