mH_GeV  XS_pb  Sca_Hi  Sca_Lo  Pdf_alpha_S
+120  +0.1376  +2.7  -2.5  +1.63
+122  +0.1348  +2.8  -2.6  +1.64
+124  +0.1319  +2.8  -2.6  +1.63
+124.6  +0.1311  +2.8  -2.6  +1.63
+124.8  +0.1308  +2.9  -2.6  +1.64
+125  +0.1305  +2.8  -2.6  +1.66
+125.09  +0.1304  +2.9  -2.6  +1.62
+125.2  +0.1302  +2.9  -2.6  +1.62
+125.3  +0.1301  +2.9  -2.6  +1.62
+125.38  +0.13  +2.9  -2.6  +1.62
+125.6  +0.1297  +2.9  -2.6  +1.62
+126  +0.1291  +2.9  -2.7  +1.64
+128  +0.1263  +3  -2.7  +1.63
+130  +0.1235  +3  -2.7  +1.63
