mH_GeV  XS_pb  Sca_Hi  Sca_Lo  Pdf_alpha_S  Total_Hi  Total_Lo
+120  +0.0190842857142857  +4.7  +6.4  +3.7  +5.98163857149527  -7.39256383131049
+122  +0.0184128571428571  +4.7  +6.4  +3.7  +5.98163857149527  -7.39256383131049
+124  +0.0177414285714286  +4.7  +6.4  +3.7  +5.98163857149527  -7.39256383131049
+124.6  +0.01754  +4.7  +6.4  +3.7  +5.98163857149527  -7.39256383131049
+124.8  +0.0174728571428571  +4.7  +6.4  +3.7  +5.98163857149527  -7.39256383131049
+125  +0.0174  +4.7  +6.4  +3.7  +5.98163857149527  -7.39256383131049
+125.09  +0.01737  +4.7  +6.4  +3.7  +5.98163857149527  -7.39256383131049
+125.2  +0.0173385714285714  +4.7  +6.4  +3.7  +5.98163857149527  -7.39256383131049
+125.3  +0.017305  +4.7  +6.4  +3.7  +5.98163857149527  -7.39256383131049
+125.38  +0.01733  +4.7  +6.4  +3.7  +5.98163857149527  -7.39256383131049
+125.6  +0.01724  +4.7  +6.4  +3.7  +5.98163857149527  -7.39256383131049
+126  +0.01707  +4.7  +6.4  +3.7  +5.98163857149527  -7.39256383131049
+128  +0.0163985714285714  +4.7  +6.4  +3.7  +5.98163857149527  -7.39256383131049
+130  +0.0157271428571429  +4.7  +6.4  +3.7  +5.98163857149527  -7.39256383131049
