mH_GeV  XS_pb  Sca_Hi  Sca_Lo  Pdf_alpha_S  Total_Hi  Total_Lo  XS_tH_pb  XS_tbarH_pb
+120  +0.0888457142857143  +6.4  +15.5  +2.1  +6.73572564761956  -15.6416111702088  +0.0579142857142857  +0.0309314285714286
+122  +0.0875171428571428  +6.4  +15.5  +2.1  +6.73572564761956  -15.6416111702088  +0.0571428571428571  +0.0303742857142857
+124  +0.0861885714285714  +6.4  +15.5  +2.1  +6.73572564761956  -15.6416111702088  +0.0563714285714286  +0.0298171428571429
+124.6  +0.08579  +6.4  +15.5  +2.1  +6.73572564761956  -15.6416111702088  +0.05614  +0.02965
+124.8  +0.0856571428571429  +6.4  +15.5  +2.1  +6.73572564761956  -15.6416111702088  +0.0560628571428571  +0.0295942857142857
+125  +0.08538  +6.4  +15.5  +2.1  +6.73572564761956  -15.6416111702088  +0.056  +0.02938
+125.09  +0.08534  +6.4  +15.5  +2.1  +6.73572564761956  -15.6416111702088  +0.05583  +0.02951
+125.2  +0.0853914285714286  +6.4  +15.5  +2.1  +6.73572564761956  -15.6416111702088  +0.0559085714285714  +0.0294828571428571
+125.3  +0.085325  +6.4  +15.5  +2.1  +6.73572564761956  -15.6416111702088  +0.05587  +0.029455
+125.38  +0.0851  +6.4  +15.5  +2.1  +6.73572564761956  -15.6416111702088  +0.05569  +0.02941
+125.6  +0.085  +6.4  +15.5  +2.1  +6.73572564761956  -15.6416111702088  +0.05565  +0.02935
+126  +0.08486  +6.4  +15.5  +2.1  +6.73572564761956  -15.6416111702088  +0.0556  +0.02926
+128  +0.0835314285714286  +6.4  +15.5  +2.1  +6.73572564761956  -15.6416111702088  +0.0548285714285714  +0.0287028571428572
+130  +0.0822028571428572  +6.4  +15.5  +2.1  +6.73572564761956  -15.6416111702088  +0.0540571428571429  +0.0281457142857143
