mH_GeV  XS_pb  Sca_Hi  Sca_Lo  Pdf_alpha_S  Total_Hi  Total_Lo  XS_tH_pb  XS_tbarH_pb
+120  +0.00344285714285714  +2.4  +1.8  +2.3  +3.32415402771893  -2.92061637330205  +0.00220142857142857  +0.00124142857142857
+122  +0.00332857142857143  +2.4  +1.8  +2.3  +3.32415402771893  -2.92061637330205  +0.00214428571428571  +0.00118428571428572
+124  +0.00321428571428571  +2.4  +1.8  +2.3  +3.32415402771893  -2.92061637330205  +0.00208714285714286  +0.00112714285714286
+124.6  +0.00318  +2.4  +1.8  +2.3  +3.32415402771893  -2.92061637330205  +0.00207  +0.00111
+124.8  +0.00316857142857143  +2.4  +1.8  +2.3  +3.32415402771893  -2.92061637330205  +0.00206428571428571  +0.00110428571428571
+125  +0.00315  +2.4  +1.8  +2.3  +3.32415402771893  -2.92061637330205  +0.00206  +0.00109
+125.09  +0.00314  +2.4  +1.8  +2.3  +3.32415402771893  -2.92061637330205  +0.00205  +0.00109
+125.2  +0.00314571428571429  +2.4  +1.8  +2.3  +3.32415402771893  -2.92061637330205  +0.00205285714285714  +0.00109285714285714
+125.3  +0.00314  +2.4  +1.8  +2.3  +3.32415402771893  -2.92061637330205  +0.00205  +0.00109
+125.38  +0.00313  +2.4  +1.8  +2.3  +3.32415402771893  -2.92061637330205  +0.00205  +0.00108
+125.6  +0.00312  +2.4  +1.8  +2.3  +3.32415402771893  -2.92061637330205  +0.00204  +0.00108
+126  +0.0031  +2.4  +1.8  +2.3  +3.32415402771893  -2.92061637330205  +0.00203  +0.00107
+128  +0.00298571428571429  +2.4  +1.8  +2.3  +3.32415402771893  -2.92061637330205  +0.00197285714285714  +0.00101285714285714
+130  +0.00287142857142857  +2.4  +1.8  +2.3  +3.32415402771893  -2.92061637330205  +0.00191571428571429  +0.000955714285714284
