mH_GeV  XS_pb  Sca_Hi  Sca_Lo  Pdf_alpha_S  Total_Hi  Total_Lo
+120  +0.661071428571428  +1.42126704035519  -2.19317121994613  +2.78028775489157  +3.1224989991992  -3.54118624192515
+122  +0.634214285714285  +1.58113883008419  -2.28473193175917  +2.78028775489157  +3.1984371183439  -3.59861084308932
+124  +0.607357142857143  +1.66433169770932  -2.28473193175917  +2.78028775489157  +3.24037034920393  -3.59861084308932
+124.6  +0.5993  +1.74928556845359  -2.37697286480094  +2.78028775489157  +3.28481354113137  -3.65786823163438
+124.8  +0.5961  +1.74928556845359  -2.37697286480094  +2.78028775489157  +3.28481354113137  -3.65786823163438
+125  +0.5925  +1.66433169770932  -2.28473193175917  +2.78028775489157  +3.24037034920393  -3.59861084308932
+125.09  +0.5921  +1.74928556845359  -2.37697286480094  +2.78028775489157  +3.28481354113137  -3.65786823163438
+125.2  +0.5909  +1.74928556845359  -2.37697286480094  +2.78028775489157  +3.28481354113137  -3.65786823163438
+125.3  +0.5896  +1.74928556845359  -2.37697286480094  +2.78028775489157  +3.28481354113137  -3.65786823163438
+125.38  +0.5888  +1.74928556845359  -2.37697286480094  +2.78028775489157  +3.28481354113137  -3.65786823163438
+125.6  +0.586  +1.83575597506858  -2.37697286480094  +2.78028775489157  +3.33166624979154  -3.65786823163438
+126  +0.5805  +1.83575597506858  -2.37697286480094  +2.78028775489157  +3.33166624979154  -3.65786823163438
+128  +0.553642857142857  +1.92353840616713  -2.46981780704569  +2.78028775489157  +3.38082830087539  -3.71887079635741
+130  +0.526785714285715  +2.10237960416286  -2.56320112359526  +2.78028775489157  +3.48568501158667  -3.78153408023781
