mH_GeV  XS_pb  Sca_Hi  Sca_Lo  Pdf_alpha_S  Total_Hi  Total_Lo
+120  +4.276100314  +1.12844024813727  -1.08644024813727  +2.193  +2.46629811531698  -2.44736621958639
+122  +4.20977244  +1.11483591246086  -1.07383591246086  +2.194  +2.46099474028541  -2.44269514407563
+124  +4.144375802  +1.10310426773166  -1.06310426773166  +2.195  +2.45659602407229  -2.43889640699831
+124.6  +4.12492042  +1.09946352523329  -1.06046352523329  +2.195  +2.4549633486711  -2.43774647745622
+124.8  +4.118497048  +1.09776141047073  -1.05876141047073  +2.195  +2.45420152276024  -2.43700650887558
+125  +4.11208315  +1.09705291349714  -1.05705291349714  +2.196  +2.45477923549401  -2.43716574363189
+125.09  +4.109103054  +1.09638801388796  -1.05738801388796  +2.196  +2.4544821606598  -2.43731110281677
+125.2  +4.1055882  +1.09434816643325  -1.05534816643325  +2.196  +2.4535716637946  -2.43642684117419
+125.3  +4.102395462  +1.09226883766185  -1.05326883766185  +2.196  +2.45264494245033  -2.43552689256135
+125.38  +4.099837482  +1.09011564073212  -1.05111564073212  +2.196  +2.45168678875765  -2.43459649432749
+125.6  +4.092726722  +1.09090810235338  -1.05190810235338  +2.196  +2.45203925086452  -2.43493873758596
+126  +4.0804487  +1.08838151169503  -1.04838151169503  +2.196  +2.45091621949824  -2.43341730783356
+128  +4.017753668  +1.07803363199618  -1.03903363199618  +2.198  +2.44813408777274  -2.43121263743408
+130  +3.956400609  +1.06115593465323  -1.02415593465323  +2.199  +2.44164963040354  -2.42579809103838
