mH_GeV   XS_pb    Sca_Hi   Sca_Lo   Pdf_alpha_s  Total_pos  Total_neg
+120.0   +4.4859  +1.1331  -1.0911  +2.188       +2.464     -2.445   
+122.0   +4.4164  +1.1216  -1.0796  +2.188       +2.4587    -2.4398  
+124.0   +4.3482  +1.1039  -1.0629  +2.19        +2.4525    -2.4343  
+124.6   +4.328   +1.0991  -1.0591  +2.191       +2.4512    -2.4336  
+124.8   +4.3217  +1.0998  -1.0598  +2.191       +2.4515    -2.4338  
+125.0   +4.3151  +1.0959  -1.0559  +2.191       +2.4498    -2.4321  
+125.09  +4.312   +1.0962  -1.0562  +2.191       +2.4499    -2.4323  
+125.2   +4.3083  +1.0966  -1.0566  +2.191       +2.4501    -2.4325  
+125.3   +4.305   +1.0946  -1.0546  +2.191       +2.4492    -2.4316  
+125.38  +4.3023  +1.0949  -1.0549  +2.191       +2.4493    -2.4317  
+125.6   +4.2949  +1.091   -1.051   +2.191       +2.4476    -2.43    
+126.0   +4.2817  +1.0878  -1.0478  +2.192       +2.4471    -2.4295  
+128.0   +4.2163  +1.0781  -1.0391  +2.193       +2.4437    -2.4267  
+130.0   +4.1525  +1.0681  -1.0301  +2.194       +2.4402    -2.4238  
