mH_GeV  XS_pb  Sca_Hi  Sca_Lo  Pdf_alpha_S  Total_Hi  Total_Lo  XS_WplusH_pb  XS_WminusH_pb
+120  +1.7371  +0.45  -0.713  +1.832  +1.8864580567826  -1.96585681065534  +1.0606  +0.6765
+122  +1.64801  +0.456  -0.722  +1.838  +1.89372120440154  -1.97472225895188  +1.007  +0.64101
+124  +1.56432  +0.476  -0.722  +1.84  +1.90057254531365  -1.97658392182068  +0.95655  +0.60777
+124.6  +1.54035  +0.468  -0.734  +1.84  +1.89858473605999  -1.9809987380107  +0.9421  +0.59825
+124.8  +1.53224  +0.474  -0.726  +1.839  +1.89910426254063  -1.97711835761039  +0.93717  +0.59507
+125  +1.52447  +0.47  -0.74  +1.848  +1.90683087870949  -1.9906541638366  +0.93253  +0.59194
+125.09  +1.521  +0.465  -0.735  +1.842  +1.89978656695956  -1.98322691591255  +0.93044  +0.59056
+125.2  +1.51653  +0.471  -0.734  +1.828  +1.8877036313998  -1.96985786289265  +0.92775  +0.58878
+125.3  +1.51263  +0.47  -0.728  +1.84  +1.8990787240133  -1.97878346465701  +0.92536  +0.58727
+125.38  +1.50961  +0.473  -0.735  +1.841  +1.9007919402186  -1.98229816122601  +0.92357  +0.58604
+125.6  +1.50112  +0.475  -0.733  +1.833  +1.89354535197866  -1.97412714889391  +0.91845  +0.58267
+126  +1.48582  +0.472  -0.735  +1.838  +1.89763747855063  -1.97951231367729  +0.90921  +0.57661
+128  +1.41192  +0.493  -0.74  +1.863  +1.92712687698553  -2.00458698988096  +0.86463  +0.54729
+130  +1.34228  +0.505  -0.742  +1.875  +1.94181616019643  -2.01647935769251  +0.82258  +0.5197
