mH_GeV   XS_pb    Sca_Hi  Sca_Lo  Pdf_alpha_s  Total_pos  Total_neg
+120     +0.0207  +4.8    +6.4    +3.6         +6         -7.343   
+122     +0.02    +4.8    +6.4    +3.6         +6         -7.343   
+124     +0.0192  +4.8    +6.4    +3.6         +6         -7.343   
+124.6   +0.019   +4.8    +6.4    +3.6         +6         -7.343   
+124.8   +0.0189  +4.8    +6.4    +3.6         +6         -7.343   
+125     +0.0189  +4.8    +6.4    +3.6         +6         -7.343   
+125.09  +0.0188  +4.8    +6.4    +3.6         +6         -7.343   
+125.2   +0.0188  +4.8    +6.4    +3.6         +6         -7.343   
+125.3   +0.0187  +4.8    +6.4    +3.6         +6         -7.343   
+125.38  +0.0186  +4.8    +6.4    +3.6         +6         -7.343   
+125.6   +0.0186  +4.8    +6.4    +3.6         +6         -7.343   
+126     +0.0185  +4.8    +6.4    +3.6         +6         -7.343   
+128     +0.0177  +4.8    +6.4    +3.6         +6         -7.343   
+130     +0.0169  +4.8    +6.4    +3.6         +6         -7.343   
