mH_GeV  XS_pb  Sca_Hi  Sca_Lo  Pdf_alpha_S  Total_Hi  Total_Lo  XS_tH_pb  XS_tbarH_pb
+120  +0.00362571428571428  +2.4  +1.8  +2.3  +3.32415402771893  -2.92061637330205  +0.00236714285714286  +0.00125857142857143
+122  +0.00349714285714286  +2.4  +1.8  +2.3  +3.32415402771893  -2.92061637330205  +0.00228142857142857  +0.00121571428571429
+124  +0.00336857142857143  +2.4  +1.8  +2.3  +3.32415402771893  -2.92061637330205  +0.00219571428571429  +0.00117285714285714
+124.6  +0.00333  +2.4  +1.8  +2.3  +3.32415402771893  -2.92061637330205  +0.00217  +0.00116
+124.8  +0.00331714285714286  +2.4  +1.8  +2.3  +3.32415402771893  -2.92061637330205  +0.00216142857142857  +0.00115571428571429
+125  +0.0033  +2.4  +1.8  +2.3  +3.32415402771893  -2.92061637330205  +0.00215  +0.00115
+125.09  +0.0033  +2.4  +1.8  +2.3  +3.32415402771893  -2.92061637330205  +0.00215  +0.00115
+125.2  +0.00329142857142857  +2.4  +1.8  +2.3  +3.32415402771893  -2.92061637330205  +0.00214428571428571  +0.00114714285714286
+125.3  +0.003285  +2.4  +1.8  +2.3  +3.32415402771893  -2.92061637330205  +0.00214  +0.001145
+125.38  +0.00329  +2.4  +1.8  +2.3  +3.32415402771893  -2.92061637330205  +0.00214  +0.00115
+125.6  +0.00327  +2.4  +1.8  +2.3  +3.32415402771893  -2.92061637330205  +0.00213  +0.00114
+126  +0.00324  +2.4  +1.8  +2.3  +3.32415402771893  -2.92061637330205  +0.00211  +0.00113
+128  +0.00311142857142857  +2.4  +1.8  +2.3  +3.32415402771893  -2.92061637330205  +0.00202428571428571  +0.00108714285714286
+130  +0.00298285714285714  +2.4  +1.8  +2.3  +3.32415402771893  -2.92061637330205  +0.00193857142857143  +0.00104428571428571
