mH_GeV   XS_pb    Sca_Hi   Sca_Lo   Pdf_alpha_s  Total_pos  Total_neg
+120.0   +0.7034  +1.2042  -2.0125  +2.7203      +2.9749    -3.3838  
+122.0   +0.677   +1.4213  -2.1024  +2.7203      +3.0692    -3.438   
+124.0   +0.6505  +1.5811  -2.2847  +2.7203      +3.1464    -3.5525  
+124.6   +0.6426  +1.5811  -2.2847  +2.7203      +3.1464    -3.5525  
+124.8   +0.6408  +1.6643  -2.2847  +2.7203      +3.189     -3.5525  
+125.0   +0.6388  +1.7493  -2.377   +2.7203      +3.2342    -3.6125  
+125.09  +0.6361  +1.6643  -2.2847  +2.7203      +3.189     -3.5525  
+125.2   +0.6356  +1.7493  -2.377   +2.7203      +3.2342    -3.6125  
+125.3   +0.6343  +1.7493  -2.377   +2.7203      +3.2342    -3.6125  
+125.38  +0.6351  +1.8358  -2.377   +2.7203      +3.2818    -3.6125  
+125.6   +0.6307  +1.7493  -2.377   +2.7203      +3.2342    -3.6125  
+126.0   +0.6241  +1.7493  -2.377   +2.7203      +3.2342    -3.6125  
+128.0   +0.5977  +2.0125  -2.5632  +2.7203      +3.3838    -3.7376  
+130.0   +0.5712  +2.1932  -2.6571  +2.7203      +3.4943    -3.8026  
