mH_GeV   XS_pb   Sca_Hi  Sca_Lo  Pdf_as_mb  Total_pos  Total_neg
+120.0   +0.197  +9.7    -9.7    +3.7       +10.4      -10.4    
+122.0   +0.186  +9.6    -9.6    +3.7       +10.3      -10.3    
+124.0   +0.176  +9.6    +9.6    +3.6       +10.2      -10.2    
+124.6   +0.173  +9.5    -9.5    +3.6       +10.2      -10.2    
+124.8   +0.172  +9.5    -9.5    +3.6       +10.2      -10.2    
+125.0   +0.171  +9.6    -9.6    +3.6       +10.2      -10.2    
+125.09  +0.171  +9.5    -9.5    +3.6       +10.2      -10.2    
+125.2   +0.17   +9.5    -9.5    +3.6       +10.2      -10.2    
+125.3   +0.17   +9.5    -9.5    +3.6       +10.2      -10.2    
+125.38  +0.169  +9.5    -9.5    +2.6       +9.9       -9.9     
+125.6   +0.168  +9.5    -9.5    +3.6       +10.2      -10.2    
+126.0   +0.166  +9.5    -9.5    +3.6       +10.2      -10.2    
+128.0   +0.157  +9.4    -9.4    +3.6       +10.1      -10.1    
+130.0   +0.149  +9.4    -9.4    +3.6       +10.0      -10.0    
