mH_GeV  XS_pb  Sca_Hi  Sca_Lo  Pdf_alpha_S
+120  +0.0295  +2.51  -2.28  +2.05
+122  +0.0289  +2.55  -2.34  +2.06
+124  +0.0283  +2.65  -2.38  +2.06
+124.6  +0.028  +2.69  -2.38  +2.07
+124.8  +0.028  +2.67  -2.4  +2.07
+125  +0.0279  +2.65  -2.41  +2.07
+125.09  +0.0278  +2.68  -2.39  +2.07
+125.2  +0.0278  +2.68  -2.39  +2.07
+125.3  +0.0278  +2.69  -2.4  +2.07
+125.38  +0.0277  +2.69  -2.39  +2.06
+125.6  +0.0277  +2.69  -2.4  +2.06
+126  +0.0276  +2.7  -2.42  +2.06
+128  +0.0269  +2.76  -2.46  +2.07
+130  +0.0263  +2.81  -2.51  +2.07
