mH_GeV  XS_pb  Sca_Hi  Sca_Lo  Pdf_alpha_S  Total_Hi  Total_Lo  XS_tH_pb  XS_tbarH_pb
+120  +0.01289  +7.6  +16.6  +4.9  +9.04267659490264  -17.3080905937079  +0.00888  +0.004
+122  +0.0126  +7.5  +16.6  +4.9  +8.95879456177002  -17.3080905937079  +0.00869  +0.00392
+124  +0.01236  +7.4  +17  +4.9  +8.8752464754507  -17.6920886274063  +0.00851  +0.00384
+124.6  +0.01228  +7.4  +16.8  +4.9  +8.8752464754507  -17.5  +0.00847  +0.00382
+124.8  +0.01225  +7.4  +16.8  +4.9  +8.8752464754507  -17.5  +0.00844  +0.00381
+125  +0.01226  +7.3  +17.2  +4.9  +8.79204185613331  -17.8843507011018  +0.00843  +0.0038
+125.09  +0.01223  +7.4  +17  +5  +8.93084542470644  -17.7200451466694  +0.00842  +0.0038
+125.2  +0.01222  +7.3  +16.9  +5  +8.84816365128946  -17.6241311842598  +0.00841  +0.0038
+125.3  +0.01221  +7.4  +16.9  +5  +8.93084542470644  -17.6241311842598  +0.00841  +0.00379
+125.38  +0.01217  +7.4  +16.8  +5  +8.93084542470644  -17.5282628916844  +0.0084  +0.00379
+125.6  +0.01218  +7.3  +17.1  +5  +8.84816365128946  -17.8160040413107  +0.00839  +0.00378
+126  +0.01213  +7.3  +17  +5  +8.84816365128946  -17.7200451466694  +0.00834  +0.00377
+128  +0.0119  +7.2  +17.2  +5  +8.76584280032445  -17.9120071460459  +0.0082  +0.0037
+130  +0.01167  +7.2  +17.4  +5  +8.76584280032445  -18.1041431722134  +0.00804  +0.00365
