mH_GeV   XS_pb    Sca_Hi  Sca_Lo  Pdf_alpha_s  Total_pos  Total_neg
+120.0   +1.3099  +1.067  -1.05   +2.343       +2.5745    -2.5675  
+122.0   +1.2849  +1.065  -1.051  +2.346       +2.5764    -2.5707  
+124.0   +1.2613  +1.065  -1.051  +2.35        +2.5801    -2.5743  
+124.6   +1.2543  +1.064  -1.051  +2.351       +2.5806    -2.5752  
+124.8   +1.2518  +1.064  -1.051  +2.351       +2.5806    -2.5752  
+125.0   +1.2494  +1.064  -1.051  +2.351       +2.5806    -2.5752  
+125.09  +1.2484  +1.063  -1.051  +2.351       +2.5801    -2.5752  
+125.2   +1.2471  +1.063  -1.051  +2.351       +2.5801    -2.5752  
+125.3   +1.2459  +1.063  -1.051  +2.352       +2.5811    -2.5761  
+125.38  +1.245   +1.063  -1.051  +2.352       +2.5811    -2.5761  
+125.6   +1.2424  +1.063  -1.051  +2.352       +2.5811    -2.5761  
+126.0   +1.2378  +1.063  -1.051  +2.352       +2.5811    -2.5761  
+128.0   +1.2148  +1.061  -1.051  +2.356       +2.5839    -2.5798  
+130.0   +1.1924  +1.06   -1.051  +2.359       +2.5862    -2.5825  
