mH_GeV   XS_pb    Sca_Hi  Sca_Lo  Pdf_alpha_s  Total_pos  Total_neg
+120.0   +1.6869  +1.082  -1.061  +2.302       +2.5436    -2.5347  
+122.0   +1.6565  +1.081  -1.061  +2.305       +2.5459    -2.5375  
+124.0   +1.6268  +1.081  -1.061  +2.308       +2.5486    -2.5402  
+124.6   +1.6179  +1.081  -1.061  +2.309       +2.5495    -2.5411  
+124.8   +1.6151  +1.081  -1.061  +2.309       +2.5495    -2.5411  
+125.0   +1.6122  +1.081  -1.061  +2.309       +2.5495    -2.5411  
+125.09  +1.6109  +1.081  -1.061  +2.309       +2.5495    -2.5411  
+125.2   +1.6093  +1.081  -1.061  +2.309       +2.5495    -2.5411  
+125.3   +1.6078  +1.081  -1.061  +2.31        +2.5504    -2.542   
+125.38  +1.6065  +1.08   -1.061  +2.302       +2.5428    -2.5347  
+125.6   +1.6035  +1.08   -1.061  +2.31        +2.55      -2.542   
+126.0   +1.5976  +1.08   -1.061  +2.311       +2.5509    -2.5429  
+128.0   +1.5694  +1.079  -1.061  +2.313       +2.5523    -2.5447  
+130.0   +1.5416  +1.079  -1.061  +2.316       +2.555     -2.5475  
