mH_GeV   XS_pb    Sca_Hi  Sca_Lo  Pdf_alpha_s  Total_pos  Total_neg  XS_WplusH_pb  XS_WminusH_pb
+120.0   +0.8109  +0.601  -0.859  +2.225       +2.3047    -2.3851    +0.5157       +0.2953      
+122.0   +0.7677  +0.606  -0.863  +2.24        +2.3205    -2.4005    +0.4886       +0.2791      
+124.0   +0.7271  +0.618  -0.874  +2.236       +2.3198    -2.4007    +0.4632       +0.2639      
+124.6   +0.7155  +0.613  -0.873  +2.251       +2.333     -2.4144    +0.4559       +0.2595      
+124.8   +0.7115  +0.624  -0.867  +2.251       +2.3359    -2.4122    +0.4534       +0.2581      
+125.0   +0.7077  +0.627  -0.869  +2.252       +2.3377    -2.4138    +0.4511       +0.2567      
+125.09  +0.7061  +0.621  -0.871  +2.252       +2.3361    -2.4146    +0.45         +0.256       
+125.2   +0.7039  +0.628  -0.867  +2.258       +2.3437    -2.4187    +0.4487       +0.2552      
+125.3   +0.7021  +0.618  -0.877  +2.255       +2.3382    -2.4195    +0.4476       +0.2546      
+125.38  +0.7006  +0.623  -0.874  +2.255       +2.3395    -2.4185    +0.4466       +0.254       
+125.6   +0.6965  +0.619  -0.88   +2.25        +2.3336    -2.416     +0.444        +0.2525      
+126.0   +0.6891  +0.631  -0.877  +2.256       +2.3426    -2.4205    +0.4394       +0.2497      
+128.0   +0.6534  +0.629  -0.882  +2.276       +2.3613    -2.4409    +0.417        +0.2364      
+130.0   +0.6198  +0.648  -0.878  +2.28        +2.3703    -2.4432    +0.3959       +0.2239      
