mH_GeV   XS_pb    Sca_Hi  Sca_Lo  Pdf_alpha_s  Total_pos  Total_neg  XS_ggZH_pb
+120.0   +0.481   +2.73   -2.44   +1.94        +3.3491    -3.1172    +0.0417   
+122.0   +0.4572  +2.8    -2.47   +1.93        +3.4007    -3.1346    +0.0407   
+124.0   +0.4351  +2.82   -2.53   +1.94        +3.4229    -3.1882    +0.0398   
+124.6   +0.4287  +2.87   -2.55   +1.94        +3.4642    -3.2041    +0.0395   
+124.8   +0.4265  +2.88   -2.54   +1.94        +3.4725    -3.1961    +0.0394   
+125.0   +0.4244  +2.9    -2.54   +1.94        +3.4891    -3.1961    +0.0393   
+125.09  +0.4235  +2.9    -2.55   +1.94        +3.4891    -3.2041    +0.0393   
+125.2   +0.4224  +2.89   -2.54   +1.94        +3.4808    -3.1961    +0.0392   
+125.3   +0.4213  +2.88   -2.55   +1.94        +3.4725    -3.2041    +0.0392   
+125.38  +0.4205  +2.89   -2.54   +1.95        +3.4863    -3.2022    +0.0392   
+125.6   +0.4182  +2.91   -2.56   +1.95        +3.5029    -3.2181    +0.0391   
+126.0   +0.4141  +2.93   -2.55   +1.94        +3.514     -3.2041    +0.0388   
+128.0   +0.3943  +2.98   -2.6    +1.95        +3.5613    -3.25      +0.0379   
+130.0   +0.3758  +3.03   -2.64   +1.95        +3.6032    -3.2821    +0.0371   
