mH_GeV   XS_pb   Sca_Hi  Sca_Lo  Pdf_minus_TH  Gauss  Pdf_alpha_s  Total_pos  Total_neg
+120.0   +22.91  +1.5    -5.0    +1.9          +4.0   +2.5         +4.2202    -7.3389  
+122.0   +22.18  +1.5    -5.0    +1.9          +4.0   +2.5         +4.2202    -7.3389  
+124.0   +21.47  +1.5    -5.0    +1.9          +4.0   +2.5         +4.2202    -7.3389  
+124.6   +21.27  +1.5    -5.0    +1.9          +4.0   +2.5         +4.2202    -7.3389  
+124.8   +21.2   +1.5    -5.0    +1.9          +4.0   +2.5         +4.2202    -7.3389  
+125.0   +21.14  +1.5    -5.0    +1.9          +3.9   +2.5         +4.2202    -7.3389  
+125.09  +21.11  +1.5    -5.0    +1.9          +3.9   +2.5         +4.2202    -7.3389  
+125.2   +21.07  +1.5    -5.0    +1.9          +3.9   +2.5         +4.2202    -7.3389  
+125.3   +21.04  +1.5    -5.0    +1.9          +3.9   +2.5         +4.2202    -7.3389  
+125.38  +21.01  +1.5    -5.0    +1.9          +3.9   +2.5         +4.2202    -7.3389  
+125.6   +20.94  +1.5    -5.0    +1.9          +3.9   +2.5         +4.2202    -7.3389  
+126.0   +20.81  +1.5    -5.0    +1.9          +3.9   +2.5         +4.2202    -7.3389  
+128.0   +20.17  +1.5    -4.9    +1.9          +3.9   +2.5         +4.2202    -7.245   
+130.0   +19.56  +1.5    -4.9    +1.8          +3.9   +2.5         +4.14      -7.1512  
