mH_GeV  XS_pb
120.00  4.175E-02
120.50  4.148E-02
121.00  4.123E-02
121.50  4.096E-02
122.00  4.086E-02
122.50  4.059E-02
123.00  4.031E-02
123.50  4.004E-02
124.00  3.994E-02
124.10  3.977E-02
124.20  3.974E-02
124.30  3.974E-02
124.40  3.969E-02
124.50  3.967E-02
124.60  3.964E-02
124.70  3.947E-02
124.80  3.944E-02
124.90  3.942E-02
125.00  3.942E-02
125.09  3.942E-02
125.10  3.942E-02
125.20  3.937E-02
125.30  3.934E-02
125.40  3.917E-02
125.50  3.914E-02
125.60  3.914E-02
125.70  3.912E-02
125.80  3.909E-02
125.90  3.909E-02
126.00  3.905E-02
126.50  3.877E-02
127.00  3.852E-02
127.50  3.828E-02
128.00  3.818E-02
128.50  3.788E-02
129.00  3.765E-02
129.50  3.738E-02
130.00  3.708E-02
