mH_GeV   XS_pb    Sca_Hi  Sca_Lo  Pdf_alpha_s  Total_pos  Total_neg  XS_tH_pb  XS_tbarH_pb
+120.0   +0.0196  +7.4    +16.0   +4.6         +8.7132    -16.6481   +0.0134   +0.0062    
+122.0   +0.0192  +7.4    +16.1   +4.6         +8.7132    -16.7443   +0.0131   +0.0061    
+124.0   +0.0189  +7.3    +16.4   +4.6         +8.6284    -17.0329   +0.0129   +0.006     
+124.6   +0.0187  +7.3    +16.4   +4.6         +8.6284    -17.0329   +0.0128   +0.006     
+124.8   +0.0187  +7.2    +16.5   +4.6         +8.544     -17.1292   +0.0128   +0.006     
+125.0   +0.0187  +7.3    +16.5   +4.6         +8.6284    -17.1292   +0.0127   +0.006     
+125.09  +0.0187  +7.3    +16.6   +4.6         +8.6284    -17.2256   +0.0127   +0.006     
+125.2   +0.0187  +7.3    +16.6   +4.6         +8.6284    -17.2256   +0.0127   +0.0059    
+125.3   +0.0186  +7.2    +16.5   +4.6         +8.544     -17.1292   +0.0127   +0.0059    
+125.38  +0.0186  +7.2    +16.5   +4.6         +8.544     -17.1292   +0.0127   +0.0059    
+125.6   +0.0186  +7.2    +16.6   +4.6         +8.544     -17.2256   +0.0127   +0.0059    
+126.0   +0.0185  +7.2    +16.6   +4.7         +8.5983    -17.2525   +0.0126   +0.0059    
+128.0   +0.0182  +7.1    +16.8   +4.7         +8.5147    -17.4451   +0.0124   +0.0058    
+130.0   +0.0179  +7.1    +16.9   +4.7         +8.5147    -17.5414   +0.0122   +0.0057    
