mH_GeV   XS_pb    Sca_Hi  Sca_Lo  Pdf_alpha_s  Total_pos  Total_neg
+120.0   +0.1501  +4.1    +9.2    +4.3         +5.9414    -10.1553 
+122.0   +0.1431  +4.1    +9.2    +4.3         +5.9414    -10.1553 
+124.0   +0.1363  +4.0    +9.2    +4.3         +5.8728    -10.1553 
+124.6   +0.1343  +4.0    +9.2    +4.3         +5.8728    -10.1553 
+124.8   +0.1336  +4.0    +9.2    +4.3         +5.8728    -10.1553 
+125.0   +0.133   +4.1    +9.2    +4.3         +5.9414    -10.1553 
+125.09  +0.1326  +4.0    +9.2    +4.3         +5.8728    -10.1553 
+125.2   +0.1324  +4.1    +9.2    +4.3         +5.9414    -10.1553 
+125.3   +0.1321  +4.0    +9.2    +4.3         +5.8728    -10.1553 
+125.38  +0.1316  +4.0    +9.2    +4.3         +5.8728    -10.1553 
+125.6   +0.131   +4.0    +9.2    +4.3         +5.8728    -10.1553 
+126.0   +0.1299  +4.0    +9.2    +4.3         +5.8728    -10.1553 
+128.0   +0.1237  +4.0    +9.2    +4.3         +5.8728    -10.1553 
+130.0   +0.1181  +4.0    +9.2    +4.3         +5.8728    -10.1553 
