mH_GeV  XS_pb
120.00  1.299E-01
120.50  1.292E-01
121.00  1.281E-01
121.50  1.269E-01
122.00  1.271E-01
122.50  1.265E-01
123.00  1.254E-01
123.50  1.250E-01
124.00  1.242E-01
124.10  1.242E-01
124.20  1.241E-01
124.30  1.239E-01
124.40  1.236E-01
124.50  1.235E-01
124.60  1.233E-01
124.70  1.235E-01
124.80  1.230E-01
124.90  1.227E-01
125.00  1.227E-01
125.09  1.227E-01
125.10  1.226E-01
125.20  1.223E-01
125.30  1.224E-01
125.40  1.223E-01
125.50  1.221E-01
125.60  1.224E-01
125.70  1.218E-01
125.80  1.219E-01
125.90  1.218E-01
126.00  1.218E-01
126.50  1.211E-01
127.00  1.203E-01
127.50  1.197E-01
128.00  1.190E-01
128.50  1.180E-01
129.00  1.177E-01
129.50  1.171E-01
130.00  1.164E-01
