channel,process,systematic,bin,sum_w,sum_ww
bin1,background,alphaDown,0.0,30.224781036376953,30.224781036376957
bin1,background,alphaDown,1.0,20.260276794433594,20.26027679443359
bin1,background,alphaDown,2.0,13.580870628356934,13.580870628356934
bin1,background,alphaDown,3.0,9.103529930114746,9.103529930114746
bin1,background,alphaDown,4.0,6.102278709411621,6.102278709411621
bin1,background,alphaDown,5.0,4.090479373931885,4.090479373931884
bin1,background,alphaDown,6.0,2.7419304847717285,2.741930484771729
bin1,background,alphaDown,7.0,1.8379708528518677,1.837970852851868
bin1,background,alphaDown,8.0,1.2320287227630615,1.2320287227630617
bin1,background,alphaDown,9.0,0.8258535861968994,0.8258535861968994
bin1,background,alphaUp,0.0,24.10872459411621,24.108724594116207
bin1,background,alphaUp,1.0,19.738554000854492,19.738554000854492
bin1,background,alphaUp,2.0,16.16056251525879,16.16056251525879
bin1,background,alphaUp,3.0,13.231148719787598,13.231148719787598
bin1,background,alphaUp,4.0,10.832748413085938,10.832748413085938
bin1,background,alphaUp,5.0,8.869104385375977,8.869104385375975
bin1,background,alphaUp,6.0,7.26140832901001,7.261408329010011
bin1,background,alphaUp,7.0,5.945138454437256,5.945138454437256
bin1,background,alphaUp,8.0,4.867467403411865,4.867467403411864
bin1,background,alphaUp,9.0,3.985145330429077,3.985145330429077
bin1,background,nominal,0.0,27.27617835998535,27.276178359985355
bin1,background,nominal,1.0,20.20669174194336,20.206691741943363
bin1,background,nominal,2.0,14.96948528289795,14.969485282897947
bin1,background,nominal,3.0,11.089667320251465,11.089667320251465
bin1,background,nominal,4.0,8.21542739868164,8.21542739868164
bin1,background,nominal,5.0,6.0861382484436035,6.086138248443604
bin1,background,nominal,6.0,4.508721828460693,4.508721828460693
bin1,background,nominal,7.0,3.3401434421539307,3.3401434421539307
bin1,background,nominal,8.0,2.4744391441345215,2.474439144134521
bin1,background,nominal,9.0,1.8331094980239868,1.833109498023987
bin1,data_obs,nominal,0.0,22.0,0.0
bin1,data_obs,nominal,1.0,14.0,14.0
bin1,data_obs,nominal,2.0,16.0,16.0
bin1,data_obs,nominal,3.0,13.0,12.999999999999998
bin1,data_obs,nominal,4.0,5.0,5.000000000000001
bin1,data_obs,nominal,5.0,5.0,5.000000000000001
bin1,data_obs,nominal,6.0,5.0,5.000000000000001
bin1,data_obs,nominal,7.0,3.0,2.9999999999999996
bin1,data_obs,nominal,8.0,2.0,2.0000000000000004
bin1,data_obs,nominal,9.0,0.0,0.0
bin1,data_sig,nominal,0.0,30.0,0.0
bin1,data_sig,nominal,1.0,13.0,12.999999999999998
bin1,data_sig,nominal,2.0,13.0,12.999999999999998
bin1,data_sig,nominal,3.0,10.0,10.000000000000002
bin1,data_sig,nominal,4.0,11.0,11.0
bin1,data_sig,nominal,5.0,13.0,12.999999999999998
bin1,data_sig,nominal,6.0,6.0,5.999999999999999
bin1,data_sig,nominal,7.0,6.0,5.999999999999999
bin1,data_sig,nominal,8.0,3.0,2.9999999999999996
bin1,data_sig,nominal,9.0,2.0,2.0000000000000004
bin1,signal,nominal,0.0,1.0769933851406677e-06,1.0769933851406677e-06
bin1,signal,nominal,1.0,0.0001598399830982089,0.00015983998309820893
bin1,signal,nominal,2.0,0.008726967498660088,0.008726967498660088
bin1,signal,nominal,3.0,0.17528583109378815,0.17528583109378812
bin1,signal,nominal,4.0,1.295196771621704,1.295196771621704
bin1,signal,nominal,5.0,3.520709991455078,3.5207099914550777
bin1,signal,nominal,6.0,3.520709991455078,3.5207099914550777
bin1,signal,nominal,7.0,1.295196771621704,1.295196771621704
bin1,signal,nominal,8.0,0.17528583109378815,0.17528583109378812
bin1,signal,nominal,9.0,0.008726967498660088,0.008726967498660088
bin1,signal,sigmaDown,0.0,2.240517341968451e-13,2.2405173419684507e-13
bin1,signal,sigmaDown,1.0,6.052358614283548e-09,6.052358614283548e-09
bin1,signal,sigmaDown,2.0,2.124152706528548e-05,2.1241527065285485e-05
bin1,signal,sigmaDown,3.0,0.009685711935162544,0.009685711935162543
bin1,signal,sigmaDown,4.0,0.5738020539283752,0.5738020539283751
bin1,signal,sigmaDown,5.0,4.4164910316467285,4.4164910316467285
bin1,signal,sigmaDown,6.0,4.4164910316467285,4.4164910316467285
bin1,signal,sigmaDown,7.0,0.5738020539283752,0.5738020539283751
bin1,signal,sigmaDown,8.0,0.009685711935162544,0.009685711935162543
bin1,signal,sigmaDown,9.0,2.124152706528548e-05,2.1241527065285485e-05
bin1,signal,sigmaUp,0.0,0.006812803912907839,0.00681280391290784
bin1,signal,sigmaUp,1.0,0.048034943640232086,0.048034943640232086
bin1,signal,sigmaUp,2.0,0.22916190326213837,0.22916190326213834
bin1,signal,sigmaUp,3.0,0.739743709564209,0.739743709564209
bin1,signal,sigmaUp,4.0,1.6157487630844116,1.6157487630844116
bin1,signal,sigmaUp,5.0,2.3879218101501465,2.3879218101501465
bin1,signal,sigmaUp,6.0,2.3879218101501465,2.3879218101501465
bin1,signal,sigmaUp,7.0,1.6157487630844116,1.6157487630844116
bin1,signal,sigmaUp,8.0,0.739743709564209,0.739743709564209
bin1,signal,sigmaUp,9.0,0.22916190326213837,0.22916190326213834
